iter	Passed	Remaining
409	3411	4909
410	3417	4897
411	3426	4889
412	3431	4876
413	3444	4875
414	3449	4863
415	3460	4857
416	3465	4844
417	3474	4837
418	3479	4825
419	3488	4817
420	3494	4805
421	3502	4797
422	3508	4785
423	3513	4773
424	3522	4766
425	3528	4754
426	3536	4746
427	3542	4734
428	3547	4722
429	3554	4711
430	3559	4698
431	3568	4691
432	3573	4679
433	3582	4672
434	3588	4661
435	3597	4654
436	3603	4642
437	3608	4630
438	3618	4623
439	3623	4611
440	3632	4604
441	3637	4592
442	3646	4585
443	3652	4574
444	3661	4566
445	3668	4556
446	3673	4544
447	3682	4537
448	3687	4525
449	3696	4518
450	3705	4510
451	3715	4504
452	3720	4493
453	3729	4485
454	3734	4473
455	3745	4468
456	3751	4457
457	3760	4450
458	3766	4439
459	3775	4432
460	3781	4421
461	3791	4415
462	3798	4405
463	3809	4400
464	3815	4390
465	3824	4382
466	3830	4372
467	3840	4365
468	3846	4355
469	3855	4348
470	3861	4337
471	3866	4325
472	3875	4318
473	3880	4306
474	3889	4298
475	3894	4287
476	3899	4275
477	3905	4264
478	3910	4252
479	3918	4244
480	3923	4233
481	3928	4222
482	3935	4212
483	3940	4200
484	3949	4193
485	3954	4182
486	3963	4174
487	3969	4164
488	3974	4152
489	3985	4148
490	3994	4140
491	4000	4130
492	4005	4119
493	4014	4112
494	4020	4101
495	4028	4093
496	4034	4083
497	4043	4075
498	4049	4065
499	4054	4054
500	4063	4047
501	4068	4036
502	4077	4028
503	4082	4018
504	4091	4010
505	4099	4002
506	4109	3996
507	4116	3986
508	4124	3978
509	4129	3967
510	4134	3956
511	4143	3949
512	4148	3938
513	4157	3930
514	4162	3920
515	4170	3912
516	4176	3901
517	4182	3891
518	4191	3884
519	4196	3873
520	4205	3866
521	4210	3856
522	4218	3847
523	4224	3837
524	4229	3827
525	4240	3821
526	4245	3810
527	4254	3803
528	4259	3792
529	4269	3786
530	4275	3776
531	4284	3768
532	4289	3758
533	4294	3747
534	4304	3741
535	4309	3730
536	4317	3722
537	4323	3712
538	4328	3701
539	4337	3695
540	4343	3684
541	4351	3676
542	4356	3666
543	4365	3658
544	4371	3649
545	4376	3638
546	4384	3631
547	4389	3620
548	4398	3613
549	4405	3604
550	4415	3597
551	4421	3588
552	4429	3580
553	4435	3570
554	4440	3560
555	4450	3553
556	4455	3543
557	4465	3537
558	4470	3526
559	4479	3519
560	4484	3509
561	4489	3499
562	4499	3492
563	4507	3484
564	4513	3474
565	4518	3464
566	4527	3457
567	4533	3447
568	4542	3440
569	4547	3430
570	4556	3422
571	4562	3413
572	4570	3405
573	4575	3395
574	4580	3385
575	4589	3378
576	4595	3368
577	4603	3361
578	4609	3351
579	4614	3341
580	4627	3337
581	4636	3330
582	4643	3321
583	4652	3313
584	4658	3304
585	4663	3294
586	4672	3287
587	4678	3277
588	4687	3270
589	4693	3261
590	4702	3254
591	4711	3246
592	4720	3239
593	4726	3230
594	4735	3223
595	4741	3214
596	4750	3206
597	4755	3196
598	4765	3189
599	4770	3180
600	4775	3170
601	4782	3161
602	4788	3152
603	4795	3143
604	4800	3134
605	4810	3127
606	4815	3117
607	4824	3110
608	4830	3101
609	4838	3093
610	4844	3084
611	4849	3074
612	4856	3065
613	4861	3056
614	4870	3049
615	4876	3039
616	4885	3032
617	4895	3025
618	4906	3019
619	4912	3010
620	4919	3002
621	4924	2992
622	4934	2985
623	4939	2976
624	4948	2968
625	4953	2959
626	4959	2950
627	4965	2941
628	4970	2931
629	4979	2924
630	4984	2914
631	4993	2907
632	5000	2899
633	5009	2892
634	5015	2882
635	5021	2873
636	5029	2865
637	5037	2858
638	5043	2849
639	5048	2839
640	5057	2832
641	5062	2822
642	5071	2815
643	5076	2806
644	5085	2798
645	5090	2789
646	5095	2780
647	5105	2773
648	5110	2763
649	5119	2756
650	5125	2747
651	5134	2740
652	5142	2732
653	5150	2725
654	5157	2716
655	5167	2709
656	5172	2700
657	5181	2693
658	5188	2684
659	5194	2676
660	5203	2668
661	5212	2661
662	5219	2652
663	5232	2647
664	5239	2639
665	5249	2632
666	5255	2623
667	5266	2617
668	5272	2608
669	5285	2603
670	5297	2597
671	5304	2588
672	5315	2582
673	5326	2576
674	5333	2567
675	5343	2561
676	5350	2552
677	5361	2546
678	5368	2537
679	5378	2530
680	5384	2522
681	5395	2515
682	5401	2507
683	5411	2500
684	5418	2491
685	5428	2484
686	5434	2476
687	5441	2467
688	5451	2460
689	5458	2452
690	5467	2445
691	5475	2436
692	5486	2430
693	5493	2422
694	5506	2416
695	5517	2410
696	5524	2401
697	5534	2394
698	5540	2385
699	5550	2378
700	5556	2369
701	5566	2362
702	5573	2354
703	5583	2347
704	5590	2339
705	5599	2331
706	5606	2323
707	5616	2316
708	5622	2307
709	5633	2300
710	5639	2292
711	5649	2285
712	5655	2276
713	5666	2269
714	5676	2262
715	5686	2255
716	5697	2248
717	5704	2240
718	5716	2233
719	5725	2226
720	5732	2218
721	5743	2211
722	5749	2202
723	5761	2196
724	5768	2187
725	5777	2180
726	5784	2172
727	5795	2165
728	5847	2173
729	5857	2166
730	5864	2158
731	5874	2150
732	5881	2142
733	5890	2134
734	5896	2126
735	5907	2118
736	5914	2110
737	5924	2103
738	5930	2094
739	5940	2087
740	5946	2078
741	5957	2071
742	5963	2062
743	5973	2055
744	5980	2047
745	5989	2039
746	5998	2031
747	6004	2023
748	6011	2014
749	6021	2007
750	6027	1998
751	6035	1990
752	6048	1984
753	6056	1975
754	6067	1968
755	6078	1961
756	6089	1954
757	6096	1946
758	6105	1938
759	6113	1930
760	6122	1922
761	6130	1914
762	6141	1907
763	6153	1900
764	6161	1892
765	6171	1885
766	6178	1876
767	6189	1869
768	6196	1861
769	6206	1853
770	6212	1845
771	6223	1838
772	6229	1829
773	6239	1821
774	6245	1813
775	6255	1805
776	6261	1797
777	6273	1790
778	6284	1782
779	6291	1774
780	6301	1766
781	6307	1758
782	6319	1751
783	6326	1742
784	6337	1735
785	6347	1728
786	6354	1719
787	6363	1712
788	6369	1703
789	6382	1696
790	6391	1688
791	6401	1681
792	6411	1673
793	6419	1665
794	6428	1657
795	6435	1649
796	6444	1641
797	6450	1632
798	6460	1625
799	6467	1616
800	6477	1609
801	6486	1601
802	6498	1594
803	6508	1586
804	6511	1577
805	6517	1568
806	6528	1561
807	6534	1552
808	6545	1545
809	6551	1536
810	6562	1529
811	6570	1521
812	6576	1512
813	6582	1504
814	6590	1495
815	6600	1488
816	6607	1479
817	6618	1472
818	6625	1464
819	6635	1456
820	6641	1448
821	6652	1440
822	6658	1431
823	6668	1424
824	6675	1415
825	6687	1408
826	6696	1400
827	6703	1392
828	6714	1384
829	6720	1376
830	6730	1368
831	6736	1360
832	6747	1352
833	6752	1344
834	6763	1336
835	6770	1328
836	6780	1320
837	6786	1311
838	6796	1304
839	6803	1295
840	6813	1288
841	6819	1279
842	6829	1271
843	6835	1263
844	6845	1255
845	6852	1247
846	6859	1239
847	6865	1230
848	6878	1223
849	6889	1215
850	6895	1207
851	6906	1199
852	6913	1191
853	6922	1183
854	6929	1175
855	6939	1167
856	6945	1159
857	6956	1151
858	6962	1142
859	6973	1135
860	6983	1127
861	6989	1119
862	6999	1111
863	7005	1102
864	7016	1095
865	7022	1086
866	7031	1078
867	7038	1070
868	7048	1062
869	7054	1054
870	7063	1046
871	7069	1037
872	7080	1029
873	7087	1021
874	7097	1013
875	7103	1005
876	7114	997
877	7119	989
878	7129	981
879	7136	973
880	7146	965
881	7153	957
882	7164	949
883	7174	941
884	7181	933
885	7190	925
886	7197	916
887	7207	908
888	7214	900
889	7223	892
890	7230	884
891	7240	876
892	7247	868
893	7256	860
894	7263	852
895	7278	844
896	7288	836
897	7294	828
898	7304	820
899	7311	812
900	7321	804
901	7328	796
902	7339	788
903	7346	780
904	7356	772
905	7362	763
906	7372	755
907	7378	747
908	7387	739
909	7393	731
910	7402	723
911	7408	714
912	7420	707
913	7427	698
914	7437	690
915	7442	682
916	7451	674
917	7458	666
918	7468	658
919	7474	649
920	7484	641
921	7490	633
922	7500	625
923	7506	617
924	7516	609
925	7522	601
926	7533	593
927	7539	584
928	7549	576
929	7555	568
930	7566	560
931	7573	552
932	7584	544
933	7593	536
934	7600	528
935	7606	520
936	7612	511
937	7619	503
938	7626	495
939	7637	487
940	7643	479
941	7652	471
942	7659	462
943	7668	454
944	7677	446
945	7691	439
946	7700	430
947	7707	422
948	7717	414
949	7723	406
950	7733	398
951	7740	390
952	7749	382
953	7755	373
954	7764	365
955	7771	357
