iter	Logloss
426	0.1187754336
427	0.1185831552
428	0.1184769741
429	0.1182484358
430	0.1180897537
431	0.1179691552
432	0.1177527175
433	0.1175034772
434	0.1172569756
435	0.116779941
436	0.1165474044
437	0.1162625421
438	0.1160997879
439	0.1157480681
440	0.1154744029
441	0.1152652369
442	0.1150419768
443	0.1148518375
444	0.1145955667
445	0.1142810583
446	0.113975565
447	0.1137609563
448	0.1135336603
449	0.1132546023
450	0.1128792821
451	0.112677652
452	0.112498163
453	0.1123488311
454	0.112018659
455	0.1118879593
456	0.1116716644
457	0.1114715197
458	0.1113084657
459	0.1110504185
460	0.110774042
461	0.1105652869
462	0.1104358692
463	0.1100464182
464	0.1099045097
465	0.1095593909
466	0.1094042894
467	0.1091685353
468	0.1089385521
469	0.1087337207
470	0.1084581889
471	0.1080798069
472	0.1078823832
473	0.1076846637
474	0.1074190527
475	0.1071953688
476	0.1071357608
477	0.1069794003
478	0.1068764292
479	0.1065854204
480	0.1063953379
481	0.106126866
482	0.1059058372
483	0.1056231361
484	0.1053987577
485	0.1051586239
486	0.1049992586
487	0.1047882879
488	0.1046217082
489	0.1044187427
490	0.1041940828
491	0.1039726584
492	0.1037051663
493	0.1035145023
494	0.1033698157
495	0.1031172634
496	0.1029478668
497	0.1026510792
498	0.1024738235
499	0.102248413
500	0.102079946
501	0.1017957281
502	0.1015836516
503	0.1014133507
504	0.1013074623
505	0.1009397545
506	0.1007319026
507	0.1005970339
508	0.1004807208
509	0.1003906097
510	0.1002391311
511	0.1000702888
512	0.09988853906
513	0.0996749869
514	0.09946975578
515	0.09918735218
516	0.09902333615
517	0.09889090668
518	0.09868044135
519	0.09850489173
520	0.09826314947
521	0.09812592155
522	0.09781142543
523	0.09772814385
524	0.09762439879
525	0.09746509039
526	0.09737915194
527	0.09720575388
528	0.09716636625
529	0.09686980053
530	0.09666500267
531	0.09654714934
532	0.09639919732
533	0.09628892877
534	0.09611878309
535	0.09592900929
536	0.09580627244
537	0.09557764164
538	0.09544512176
539	0.09532523842
540	0.09518489041
541	0.09508673879
542	0.09481453221
543	0.09463506519
544	0.0945106411
545	0.0942214982
546	0.09408121912
547	0.09396277372
548	0.09385481959
549	0.09371545019
550	0.09346705426
551	0.09331591243
552	0.093165153
553	0.09301064121
554	0.09283854561
555	0.09264870667
556	0.09257981466
557	0.09227395528
558	0.0920486157
559	0.09190974607
560	0.09169570431
561	0.09156016841
562	0.09133192953
563	0.09110258299
564	0.09104571124
565	0.09090635787
566	0.0908095392
567	0.09071688904
568	0.0904435358
569	0.09027893102
570	0.09008604854
571	0.08994203051
572	0.08983375064
573	0.08961955504
574	0.08948190522
575	0.08935305476
576	0.08925050003
577	0.08902610698
578	0.08888964797
579	0.08871743657
580	0.08856066106
581	0.08847983708
582	0.08837751317
583	0.08820153227
584	0.08807408589
585	0.08794206642
586	0.08770851004
587	0.08749983646
588	0.08740513059
589	0.08728589037
590	0.08707700589
591	0.08673538159
592	0.08662527912
593	0.08645307596
594	0.08634598019
595	0.0862958371
596	0.08622118361
597	0.08607125206
598	0.08591458756
599	0.08582656849
600	0.08559416696
601	0.08535415741
602	0.08522012219
603	0.08509470044
604	0.0850278928
605	0.08488276998
606	0.08483889651
607	0.08479137787
608	0.08472258676
609	0.08469271077
610	0.08453320031
611	0.08437447029
612	0.08425771648
613	0.08410122581
614	0.08394058117
615	0.08384184093
616	0.08374789586
617	0.0836000512
618	0.08336423916
619	0.0832325339
620	0.08312940654
621	0.0829454499
622	0.08276042077
623	0.08258652153
624	0.08240540085
625	0.08221327021
626	0.08211796978
627	0.08196403528
628	0.08178953361
629	0.08155866618
630	0.08137422234
631	0.08127474801
632	0.0810496836
633	0.08091576245
634	0.08082712026
635	0.08075201383
636	0.08061199698
637	0.08051867052
638	0.08035086332
639	0.08020149525
640	0.08009908852
641	0.08001386758
642	0.07988450686
643	0.07978119635
644	0.07971811291
645	0.07959187083
646	0.07948112126
647	0.07936194993
648	0.0792863416
649	0.07911888725
650	0.07895093241
651	0.07881709351
652	0.07862556177
653	0.07831151314
654	0.07821124334
655	0.07800242546
656	0.07782853919
657	0.07765639146
658	0.07748010076
659	0.07736542158
660	0.07730866599
661	0.07711234841
662	0.07700408786
663	0.07692879462
664	0.076799476
665	0.0766714247
666	0.07658412165
667	0.07648993739
668	0.0764005536
669	0.07618922377
670	0.07611257039
671	0.07592388257
672	0.07581902374
673	0.07567214171
674	0.07549647348
675	0.07542246419
676	0.07530184616
677	0.07516448192
678	0.07507242214
679	0.07495277461
680	0.07484806335
681	0.07477051996
682	0.0745964801
683	0.07442107765
684	0.07431561747
685	0.07424296961
686	0.07417881099
687	0.07409453095
688	0.07387047721
689	0.07376387567
690	0.07368360817
691	0.07356445696
692	0.0735162846
693	0.07339437764
694	0.07328504352
695	0.07319252334
696	0.0729860112
697	0.07287587193
698	0.07279306522
699	0.07270900817
700	0.07260143934
701	0.07244709845
702	0.07231383672
703	0.07218582069
704	0.07209797677
705	0.07199234309
706	0.07183927073
707	0.07177202861
708	0.07171844882
709	0.07159598818
710	0.07150676035
711	0.07138839621
712	0.07126518871
713	0.07115745408
714	0.07100904313
715	0.07092301813
716	0.070703499
717	0.07060029665
718	0.07044854873
719	0.07030219422
720	0.07017998152
721	0.07005222033
722	0.0698442882
723	0.06975762173
724	0.06957780327
725	0.0693789886
726	0.06931533843
727	0.06914130604
728	0.06897188908
729	0.06887803912
730	0.06870352603
731	0.06856032949
732	0.06844536872
733	0.06837845254
734	0.06829306033
735	0.06813813879
736	0.06803627457
737	0.06788247478
738	0.06776148113
739	0.06760572226
740	0.06748753895
741	0.06743302817
742	0.06735933377
743	0.06716853862
744	0.06713808711
745	0.06703369922
746	0.06696367677
747	0.06689377495
748	0.06680317452
749	0.06673590056
750	0.06665391433
751	0.06643607453
752	0.06634701098
753	0.06622067516
754	0.06606437868
755	0.06594551252
756	0.06585069623
757	0.06574551317
758	0.06563238585
759	0.06552634434
760	0.06539353503
761	0.06525711197
762	0.06514252979
763	0.06502202199
764	0.0649179406
765	0.06478448768
766	0.06467779483
767	0.06456439896
768	0.06451751284
769	0.06436603185
770	0.06430373011
771	0.06419874949
772	0.06409040342
773	0.0639606695
774	0.06382399159
775	0.06375815221
776	0.06363860943
777	0.06354111939
778	0.06348740261
779	0.06327688375
780	0.0632332025
781	0.06314208033
782	0.06305310678
783	0.0630130578
784	0.06292147788
785	0.06284816923
786	0.06275029097
787	0.06264836588
788	0.0626040035
789	0.06244382871
790	0.06230194937
791	0.06210735517
792	0.06202301431
793	0.06193319815
794	0.06177501776
795	0.06167647371
796	0.06154502531
797	0.06131821282
798	0.06126922096
799	0.06119991614
800	0.06110759806
801	0.06103271174
802	0.06093579193
803	0.0608516502
804	0.06082772341
805	0.06078185356
806	0.0607536367
807	0.06065152471
808	0.06058038223
809	0.06053621332
810	0.06049856672
811	0.06042526484
812	0.06029120915
813	0.06020891751
814	0.06007960537
815	0.0599806084
816	0.05988805837
817	0.0598658646
818	0.0597378286
819	0.0596498988
820	0.05952201348
821	0.05943392354
822	0.05939310345
823	0.05928547988
824	0.05920085654
825	0.05910009162
826	0.05901150265
827	0.05894119331
828	0.05881745939
829	0.05866671699
830	0.0585452114
831	0.05844990315
832	0.05836934488
833	0.05832399002
834	0.0582747744
835	0.05822738409
836	0.05813819216
837	0.05801757001
838	0.05794109814
839	0.05786349861
840	0.05779984796
841	0.05773545838
842	0.05760619771
843	0.05752509812
844	0.05742142349
845	0.05730302515
846	0.05717486844
847	0.05711416776
848	0.05699773113
849	0.05692359982
850	0.05685391315
851	0.05674154607
852	0.05661772997
853	0.05655850325
854	0.05650052864
855	0.05641293146
856	0.05639714382
857	0.05628813632
858	0.05617565441
859	0.05606102996
860	0.05598395521
861	0.05586409725
862	0.05577700519
863	0.05566452104
864	0.05560064591
865	0.05545402999
866	0.05536450954
867	0.05522713909
868	0.0551982703
869	0.05511512069
870	0.05502807865
871	0.05501085078
872	0.05492571462
873	0.05486596095
874	0.05480060616
875	0.05474045035
876	0.05463937509
877	0.05457560415
878	0.05449489486
879	0.05436986428
880	0.05425629743
881	0.05417613657
882	0.05409103074
883	0.05403264335
884	0.05396795421
885	0.05389153283
886	0.05383030056
887	0.05377771731
888	0.0536811502
889	0.05353695098
890	0.05342008328
891	0.05330647781
892	0.05320404609
893	0.05311120472
894	0.05300850604
895	0.052901285
896	0.05275931336
897	0.05271111015
898	0.05265765818
899	0.0525779056
900	0.05250350464
901	0.05241526019
902	0.05235094848
903	0.05225085176
904	0.05219190148
905	0.05213363489
906	0.05202551501
907	0.05194834128
908	0.05186974733
909	0.05178747396
910	0.05171091678
911	0.05168626048
912	0.05162736727
913	0.05157022026
914	0.05154007296
915	0.0514363871
916	0.0513571308
917	0.05127808058
918	0.05120279431
919	0.05106105017
920	0.05097790699
921	0.05088996913
922	0.0508091378
923	0.05074133103
924	0.05066445504
925	0.05061105452
926	0.05056133872
927	0.05050572986
928	0.05041191898
929	0.05036269966
930	0.05029689778
931	0.05024095068
932	0.05015805876
933	0.05008983907
934	0.05002353989
935	0.04994035364
936	0.04988214201
937	0.04981933793
938	0.04975511778
939	0.04969107629
940	0.04955583383
941	0.04951331455
942	0.04943353279
943	0.04932823249
944	0.04922274209
945	0.04914787649
946	0.04906402996
947	0.04897219656
948	0.04887485916
949	0.04883611915
950	0.04879059165
951	0.04875069877
952	0.04868729531
953	0.04863720855
954	0.04857921779
955	0.04852456814
956	0.04843023339
957	0.04835792024
958	0.04831845932
959	0.04825809351
960	0.04820871482
961	0.0481610415
962	0.04813669353
963	0.04806554462
964	0.04798575655
965	0.04793141212
966	0.04787789364
967	0.04775260887
968	0.04767044363
969	0.04762049425
970	0.04755593328
971	0.04748169752
972	0.04744192157
973	0.04738131294
974	0.0473054876
975	0.04725377969
976	0.04718723257
977	0.0471804687
978	0.04710728876
979	0.04706710858
980	0.0470125527
981	0.04697684407
982	0.04690640665
983	0.04679031295
984	0.04672034989
985	0.04670162107
986	0.0466563489
987	0.04661651381
988	0.04652722684
989	0.04641139355
990	0.04632822462
991	0.04622408724
992	0.04618022625
993	0.04610043559
994	0.04605069769
995	0.04598779326
996	0.04591656868
997	0.04583840994
998	0.04579077788
999	0.04575032516
